Ticker,Date,Close,High,Low,Open,Volume,daily_return,rolling_vol_20d,rolling_vol_60d,parkinson_vol,atr_14
RY,1995-10-16,1.8345457315444946,1.8345457315444946,1.8148194333558443,1.8148194333558443,62000.0,,,,,0.01972629818865035
RY,1995-10-17,1.8345457315444946,1.8345457315444946,1.8345457315444946,1.8345457315444946,53200.0,0.0,,,,0.009863149094325174
RY,1995-10-18,1.8345457315444946,1.84440888063882,1.8246825824501693,1.8246825824501693,72000.0,0.0,,,,0.013150865459100306
RY,1995-10-19,1.8345457315444946,1.84440888063882,1.8345457315444946,1.84440888063882,5200.0,0.0,,,,0.012328936367906551
RY,1995-10-20,1.7852293252944946,1.8049556161817268,1.7852293252944949,1.8049556161817268,16400.0,-0.027250012583717186,,,0.0833315994405676,0.019726430344325196
RY,1995-10-23,1.6570103168487549,1.7260524133841197,1.6570103168487549,1.7260524133841197,34000.0,-0.07453191588754106,,,0.17615462998524278,0.03780852669456095
RY,1995-10-24,1.6865986585617065,1.6865986585617065,1.6175566082112274,1.6372829083113642,50400.0,0.017698908161125126,,,0.2219933003413108,0.04227045864540641
RY,1995-10-25,1.6471461057662964,1.676735556768086,1.6471461057662962,1.676735556768086,65600.0,-0.023669715305905094,,,0.2161537831707223,0.04191822041415691
RY,1995-10-26,1.6372827291488647,1.6668721760611935,1.6372827291488647,1.6668721760611935,63200.0,-0.006006162266938229,,,0.2115911216834121,0.04054835669173156
RY,1995-10-27,1.7063249349594116,1.7063249349594116,1.61755658574187,1.61755658574187,145200.0,0.04130390167703738,,,0.2573634120930326,0.04537035594431258
RY,1995-10-30,1.7063249349594116,1.7359143846985923,1.6767354852202312,1.726051234785532,65200.0,0.0,0.4846331830607218,,0.26486834903075573,0.046625678083771535
RY,1995-10-31,1.7753660678863525,1.8148186471727161,1.7655029230647619,1.7852292127079434,88400.0,0.03966474018100863,0.5116595174510599,,0.26468424583987976,0.05178134759456595
RY,1995-11-01,1.7655043601989746,1.7852306658995218,1.755641207348701,1.7852306658995218,45200.0,-0.0055702310413847525,0.487992487833875,,0.25811181145623263,0.05007427920658555
RY,1995-11-02,1.795093297958374,1.795093297958374,1.7556406980032448,1.7556406980032448,13200.0,0.016620591116665185,0.47529440877464174,,0.2550867827093002,0.049315587831481524
