Ticker,Date,Adj_Close,Close,High,Low,Open,Volume,daily_return,rolling_vol_20d,rolling_vol_60d,parkinson_vol,atr_14
BP,1980-01-02,,1.1122997999191284,1.1774344728873658,1.1089595602797317,1.1774344728873658,411200.0,,,,,0.06847491260763405
BP,1980-01-03,,1.098939299583435,1.1089600226799405,1.06553688926175,1.1089600226799405,1177600.0,-0.012084322247556598,,,,0.05761891163250621
BP,1980-01-04,,1.1356821060180664,1.1356821060180664,1.102279691135182,1.102279691135182,721600.0,0.032888003397826195,,,,0.05066020989988126
BP,1980-01-07,,1.1340125799179077,1.1340125799179077,1.1173113637188223,1.1340125799179077,410400.0,-0.0014711462397235275,,,,0.04258784299972196
BP,1980-01-08,,1.1724246740341187,1.1724246740341187,1.1356820204319098,1.1356820204319098,344000.0,0.033311676734364214,,,0.36454224886122266,0.041752693223019756
BP,1980-01-09,,1.1657434701919556,1.1958056227183957,1.162403231022351,1.1724239485311645,690400.0,-0.005714920069230418,,,0.3505721513256813,0.04036097630185723
BP,1980-01-10,,1.1674147844314575,1.1724251483131376,1.160734299255884,1.165744663137564,332000.0,0.0014326628054976557,,,0.3265694434112957,0.03626524383834243
BP,1980-01-11,,1.1423629522323608,1.1624044075346829,1.1290019820308128,1.1624044075346829,411200.0,-0.021692835807960605,,,0.32089702405687853,0.036533688658630215
BP,1980-01-14,,1.1590640544891357,1.16574453895305,1.145703085561307,1.145703085561307,1165600.0,0.014513947552892158,,,0.30752275279866875,0.035072343998858994
BP,1980-01-15,,1.1757649183273315,1.1757649183273315,1.160733832723715,1.160733832723715,412800.0,0.014306100250743024,,,0.29430914557387405,0.033235195982792676
BP,1980-01-16,,1.177435040473938,1.1891258848474382,1.177435040473938,1.177435040473938,431200.0,0.001419447948550274,0.2868292478041555,,0.28204626938417077,0.03142844784982122
BP,1980-01-17,,1.227539300918579,1.227539300918579,1.2058277214465498,1.2058277214465498,472800.0,0.04167321915469606,0.3220326139843001,,0.27446851025119484,0.03298476556605621
BP,1980-01-18,,1.2225284576416016,1.2325491827042376,1.204157128360102,1.2275388201729196,683200.0,-0.004090376885221296,0.31281771669968167,,0.27080486434172524,0.032631480087446936
BP,1980-01-21,,1.2826528549194336,1.2826528549194336,1.2392297113935153,1.2392297113935153,584000.0,0.048009255752775495,0.3477432794222769,,0.2753137495720198,0.034595259886760155
BP,1980-01-22,,1.259271264076233,1.2893334427942331,1.259271264076233,1.2826529586346775,499200.0,-0.01839728427977069,0.3565647512798738,,0.2722444602875954,0.03185149318035774
BP,1980-01-23,,1.2576004266738892,1.2726315074707883,1.2392291056999014,1.2592705467624334,920800.0,-0.0013277098343409276,0.3461247169064185,,0.2711149060175839,0.03089717111703692
BP,1980-01-24,,1.27430260181427,1.2876635727376176,1.2726324804488516,1.2726324804488516,459200.0,0.0131935680245625,0.3349784939500821,,0.2644176372756818,0.03042005251911528
BP,1980-01-25,,1.30269455909729,1.3160555289341853,1.249250679749709,1.2743024981938875,533600.0,0.022035807083811042,0.3285028741633966,,0.2823757872296513,0.03387963158234616
BP,1980-01-28,,1.349457025527954,1.3594777460145477,1.2993534230949855,1.3026936632571833,760800.0,0.03526745115483249,0.3331825726273359,,0.29210841253097203,0.035430505068299825
