Ticker,Date,Adj_Close,Close,High,Low,Open,Volume,daily_return,rolling_vol_20d,rolling_vol_60d,parkinson_vol,atr_14
AMX,2001-02-12,,2.444307565689087,2.4541835546357444,2.3751756430624815,2.413033098372563,27473400.0,,,,,0.07900791157326292
AMX,2001-02-13,,2.2961678504943848,2.3801134595004227,2.2862918610358767,2.3801134595004227,27755400.0,-0.06252029719854969,,,,0.11851180811323658
AMX,2001-02-14,,2.1381516456604004,2.2188054450189747,2.0328075755772366,2.185885084052855,54537000.0,-0.07129984256704774,,,,0.16679463038120712
AMX,2001-02-15,,2.1085238456726074,2.1908235488934817,2.097001356773084,2.1381518111660225,25462800.0,-0.01395363538725051,,,,0.14855152081600476
AMX,2001-02-16,,2.116752862930298,2.317564986239833,2.0015334246063268,2.0278689862208745,15314400.0,0.0038951426046237993,,,0.7834018361625122,0.18204752897950502
AMX,2001-02-20,,2.0706660747528076,2.128276116062267,2.0706660747528076,2.111815932035969,13223400.0,-0.02201291528995223,,,0.7230765155807427,0.16130794770116408
AMX,2001-02-21,,2.0015339851379395,2.064081714967003,1.9801361092902352,2.064081714967003,20430600.0,-0.033956451621199625,,,0.6859532080007187,0.15119680738136526
AMX,2001-02-22,,1.9801356792449951,2.0179931267938533,1.922525655069804,1.9653213974708466,11387400.0,-0.010748511910497886,,,0.6621176866167068,0.14423064042420078
AMX,2001-02-23,,1.9225255250930786,1.9998875178819637,1.8863133745666139,1.9702595591191374,14966400.0,-0.029525667888898495,,,0.6513141623824233,0.1408243629676618
AMX,2001-02-26,,1.9175879955291748,1.9620302527932747,1.8961901172393727,1.8961901172393727,13698000.0,-0.002571555376337578,,,0.6264011595963002,0.1333259402262858
AMX,2001-02-27,,1.9175879955291748,1.9175879955291746,1.8863141270454178,1.9060661074333278,15691200.0,0.0,0.40795473644828345,,0.5991174909932064,0.1240484791587832
AMX,2001-02-28,,1.8863133192062378,1.9225254686699318,1.8649154500803624,1.9126494827055014,11302800.0,-0.016443844597850008,0.38882809551940267,,0.5796901883082614,0.11851194077801537
AMX,2001-03-01,,1.843517780303955,1.8698533438686782,1.8073056269244465,1.8698533438686782,15931800.0,-0.02294871585882961,0.3707435552508494,,0.5641670893842585,0.11547315243215198
AMX,2001-03-02,,1.8073056936264038,1.8221199761129192,1.7381737818483447,1.7381737818483447,16018200.0,-0.019838414304159665,0.3553272677917722,,0.556769490129041,0.11474964143382758
AMX,2001-03-05,,1.83528733253479,1.8649152878507356,1.8073052742726812,1.8073052742726812,9621000.0,0.015363884532229737,0.37861479037089685,,0.543408000763983,0.11322122014845555
AMX,2001-03-06,,1.845164179801941,1.899481821870207,1.845164179801941,1.8468100776248315,14812800.0,0.005367206139869987,0.379899688496146,,0.5306770421209469,0.10651970476861317
AMX,2001-03-07,,1.8649157285690308,1.8994813832150685,1.8649157285690305,1.8780835108938398,13666200.0,0.010647606445044885,0.38511058330877124,,0.5165806553061666,0.09158805680404027
AMX,2001-03-08,,1.887959361076355,1.8945435531512997,1.8649155929876366,1.8912517585050237,12564000.0,0.012280676317019412,0.3894497190577289,,0.5032740520576681,0.08700275452141637
AMX,2001-03-09,,1.8484554290771484,1.9587371812218206,1.8484554290771484,1.8698533000150463,19356600.0,-0.021146155475121366,0.378477964570129,,0.5059825151510791,0.07230633955792823
AMX,2001-03-12,,1.7908453941345215,1.8484554172335197,1.7908453941345215,1.8221198544551844,9232200.0,-0.03166259157675479,0.3724814285242409,,0.4977683483969342,0.0723063391031545
AMX,2001-03-13,,1.76615571975708,1.8073055638248803,1.76615571975708,1.7891994877672746,14820600.0,-0.013882520758810135,0.362654506275016,,0.49529574908165963,0.06877918757495648
AMX,2001-03-14,,1.6805638074874878,1.7282978485296685,1.6789179100002494,1.69537809043754,38832000.0,-0.04967593801821508,0.34326571739761846,,0.49171764990325006,0.068191354577298
AMX,2001-03-15,,1.6673959493637085,1.743112052610432,1.6657500519509407,1.6970239111408056,7678800.0,-0.00786623913057124,0.2735270886499511,,0.46509929898391517,0.06560477295902238
AMX,2001-03-16,,1.7167766094207764,1.736528592265919,1.6558747627786992,1.675626745623842,15991200.0,0.029185370601019445,0.3106868412791775,,0.4667870475107728,0.06666289395425938
AMX,2001-03-19,,1.7974289655685425,1.8073049488958421,1.690439045725765,1.690439045725765,10650600.0,0.04590882309284071,0.366826357338032,,0.3748671935025504,0.07277661071756795
AMX,2001-03-20,,1.7151306867599487,1.8747924453419877,1.6855027129163949,1.853394564696533,12019800.0,-0.04686801146535457,0.3891891944285029,,0.43426269125041145,0.08218230456299822
AMX,2001-03-21,,1.6953781843185425,1.7282979442335917,1.6657502195602525,1.71348426324569,6743400.0,-0.011583446369607734,0.37843477975399326,,0.43234795649788943,0.08100659259096592
AMX,2001-03-22,,1.581803560256958,1.6641038404011497,1.5488838098686684,1.6608114434147025,19406400.0,-0.06934014367377081,0.4362033048101469,,0.44681954032991794,0.08394590516198476
AMX,2001-03-23,,1.5752204656600952,1.6328298962038417,1.5373624093152758,1.5818040561322373,10917600.0,-0.00417044918522641,0.43135644167742676,,0.44789272081009446,0.08665001039844987
AMX,2001-03-26,,1.5554691553115845,1.59661902452822,1.5488849592351295,1.5818047340518862,5634000.0,-0.012618032955961039,0.43054678692472825,,0.4466543430743312,0.08547426582399797
AMX,2001-03-27,,1.5669901371002197,1.5768661240929052,1.5488840604832284,1.5538217525883664,12487800.0,0.007379461502819664,0.4337108729249105,0.431890279540429,0.4469096115582636,0.08359318440946577
AMX,2001-03-28,,1.5406538248062134,1.558759899706764,1.5357161331691644,1.558759899706764,6466200.0,-0.016949781338052042,0.4338127987782286,0.4246745108099508,0.4433168414777931,0.0837107589642795
AMX,2001-03-29,,1.4846903085708618,1.5373626575478214,1.469876624834128,1.5373626575478214,7452000.0,-0.03700068379834808,0.4421120364404317,0.4223518559433257,0.4476906803580622,0.08088900523766616
AMX,2001-03-30,,1.5439456701278687,1.55875995109208,1.4682301763873193,1.473167868187142,5686200.0,0.039135059153556535,0.474533140497576,0.44234357448582856,0.45451781473201747,0.08324041522067571
AMX,2001-04-02,,1.5488841533660889,1.5900340011728673,1.517610293144235,1.517610293144235,13591200.0,0.0031935073813596855,0.46855706569977,0.43807496483739067,0.4604218688792451,0.08547426264644943
AMX,2001-04-03,,1.5143177509307861,1.5439457108584476,1.506088264380648,1.5373621216183369,8204400.0,-0.02256976250985851,0.46809781581883037,0.4322826023676312,0.45930795336541774,0.0822998397342073
AMX,2001-04-04,,1.4962128400802612,1.5439462911409314,1.4962128400802612,1.5143183200777839,12697800.0,-0.012027865900568244,0.4617865413802174,0.426084804073514,0.46250733267820643,0.08018351476286294
AMX,2001-04-05,,1.5900341272354126,1.6015560132009057,1.5258405042351673,1.5373623902006606,9159000.0,0.06081833745847314,0.5224209133700485,0.4628807875579241,0.47269760846551634,0.08194703930810755
AMX,2001-04-06,,1.6114317178726196,1.6246001018998537,1.552175798097228,1.5636976820342674,7410600.0,0.013367569921350004,0.5257704458638092,0.46109550091322193,0.4665117611328649,0.0787726393532896
