Ticker,Date,Close,High,Low,Open,Volume,daily_return,rolling_vol_20d,rolling_vol_60d,parkinson_vol,atr_14
SGAPY,2006-09-06,6.484126567840576,6.484126567840576,6.484126567840576,6.484126567840576,300.0,,,,,0.0
SGAPY,2006-09-07,6.443852424621582,6.443852424621582,6.443852424621582,6.443852424621582,5000.0,-0.006230559862269304,,,,0.02013707160949707
SGAPY,2006-09-08,6.463988780975342,6.463988780975342,6.242481674003324,6.463988780975342,9000.0,0.003120021755437484,,,,0.08726041673033731
SGAPY,2006-09-11,6.423716068267822,6.423716068267822,6.423716068267822,6.423716068267822,800.0,-0.006249808521621524,,,,0.07551349072463287
SGAPY,2006-09-12,6.242481231689453,6.343166412845735,6.242481231689453,6.242481231689453,2000.0,-0.028619040449488972,,,0.16356983964775668,0.09665775989538013
SGAPY,2006-09-13,6.403576850891113,6.403576850891113,6.242480727681111,6.403576850891113,17300.0,0.02547898057071135,,,0.17924821136288055,0.10739748711448376
SGAPY,2006-09-14,6.363304138183594,6.363304138183594,6.363304138183594,6.363304138183594,1600.0,-0.0063089561691512626,,,0.16595159692803346,0.09780823362777458
SGAPY,2006-09-15,6.182071208953857,6.323030253380745,6.141796976784151,6.182071208953857,5000.0,-0.028894398631025022,,,0.1835914206114973,0.11327059959923313
SGAPY,2006-09-18,6.242481231689453,6.262618344737406,6.121658937485218,6.242481231689453,400.0,0.009724374229464847,,,0.1876020170185378,0.1163471337828948
SGAPY,2006-09-19,6.061248302459717,6.202207333071079,6.061248302459717,6.061248302459717,2500.0,-0.02946196725674322,,,0.1909940780933141,0.12283571332757895
SGAPY,2006-09-20,6.101521968841553,6.101521968841553,6.000836785302362,6.101521968841553,600.0,0.0066224737743296284,0.2930492317142074,,0.1882821280149197,0.12082202880136181
SGAPY,2006-09-21,6.202205181121826,6.222342288246147,6.101520029583593,6.202205181121826,15200.0,0.016366660041072296,0.2980516946319,,0.1881706257252438,0.12082204795646116
SGAPY,2006-09-22,6.161934852600098,6.161934852600098,6.020975406710179,6.161934852600098,7500.0,-0.006514075513806033,0.2844070098283915,,0.19086293067240656,0.1254687961453216
SGAPY,2006-09-25,6.161934852600098,6.182071971167741,6.161934852600098,6.161934852600098,4400.0,0.0,0.2729402992532916,,0.18410790199114546,0.11794510488977318
SGAPY,2006-09-26,6.161934852600098,6.161934852600098,6.020975406710179,6.161934852600098,46200.0,0.0,0.2627595434304019,,0.1867644540397268,0.12801363673905305
SGAPY,2006-09-27,6.1417975425720215,6.242482748187956,6.101523306692216,6.1417975425720215,1300.0,-0.003273368984654048,0.2532059018749702,,0.18884955822375715,0.13520544375882063
SGAPY,2006-09-28,6.262618064880371,6.262618064880371,6.141795776075311,6.262618064880371,3200.0,0.019480860218844476,0.26122991834863113,,0.18866723569124136,0.12801367103260938
SGAPY,2006-09-29,6.262618064880371,6.262618064880371,6.262618064880371,6.262618064880371,3100.0,0.0,0.2530730368584863,,0.18335159590817812,0.12513704869635797
SGAPY,2006-10-02,6.1417975425720215,6.242482748187956,6.1417975425720215,6.1417975425720215,1500.0,-0.0194808602188444,0.2540371222345322,,0.18197053135968125,0.12082174053421373
SGAPY,2006-10-03,6.2223429679870605,6.242480077311199,6.16193202409806,6.2223429679870605,13900.0,0.013029060090055628,0.25369857410326024,,0.17951076740166166,0.11650648421486912
SGAPY,2006-10-04,6.1417975425720215,6.202208512308151,6.061249454895989,6.1417975425720215,8400.0,-0.013029060090055562,0.2499229942299741,,0.18608049868605345,0.1251365413851228
SGAPY,2006-10-05,6.182071208953857,6.182071208953857,6.182071208953857,6.182071208953857,6700.0,0.006535903710336485,0.2516416647395182,,0.18608049868605345,0.11219129174100802
SGAPY,2006-10-06,6.161934852600098,6.242482942787084,6.161934852600098,6.161934852600098,8700.0,-0.0032625347256825645,0.2509133196805407,,0.17282107176492778,0.10787619766492217
SGAPY,2006-10-09,6.161934852600098,6.202208705651795,6.141797734032453,6.161934852600098,8900.0,0.0,0.2506196670393371,,0.17407614931143633,0.09924605783560832
SGAPY,2006-10-10,6.262618064880371,6.262618064880371,6.161932888223399,6.262618064880371,1900.0,0.01620749123419042,0.23784894890624608,,0.17416335110228723,0.09924605734402128
SGAPY,2006-10-11,6.202205181121826,6.206232679363365,6.202205181121826,6.202205181121826,7900.0,-0.009693415720384315,0.22031352975918797,,0.16548288325786098,0.09493110199373492
SGAPY,2006-10-12,6.323029041290283,6.323029041290283,6.206234251287315,6.323029041290283,4600.0,0.019293468838195604,0.2315113053777242,,0.17018887658680212,0.09061639383350707
SGAPY,2006-10-13,6.323029041290283,6.383440377964317,6.1619329116597985,6.323029041290283,12100.0,0.0,0.20546027083994062,,0.1754682392951825,0.1049999901004267
SGAPY,2006-10-16,6.343167304992676,6.343167304992676,6.2022078779149785,6.343167304992676,4100.0,0.003179846596516213,0.20312831375322177,,0.1752968894698664,0.10499998875669661
SGAPY,2006-10-17,6.323029041290283,6.383440377964317,6.202206752025685,6.323029041290283,5900.0,-0.0031798465965162475,0.16990254044988992,,0.1791565748084276,0.1078767162169032
SGAPY,2006-10-18,6.403576850891113,6.443851073735341,6.282754950525339,6.403576850891113,3100.0,0.01265834517385718,0.1733428439666052,0.22477001819342626,0.18371671771066792,0.11075341867439903
SGAPY,2006-10-19,6.524399280548096,6.524399280548096,6.403576616439054,6.524399280548096,6100.0,0.018692167486313728,0.1760013160670933,0.22760889570896978,0.1832821522450973,0.11938360896790202
SGAPY,2006-10-20,6.564672946929932,6.604947169607464,6.463987774319553,6.564672946929932,5700.0,0.006153804146921302,0.1730855601327442,0.2245302440301118,0.18241028885799004,0.12082209989501358
SGAPY,2006-10-23,6.564672946929932,6.604947169607464,6.484125269741772,6.564672946929932,5600.0,0.0,0.1730855601327442,0.2209966852331851,0.18647817256235816,0.12226062597547895
SGAPY,2006-10-24,6.544539451599121,6.564676188798666,6.544539451599121,6.544539451599121,6100.0,-0.0030716583954610442,0.174170677868125,0.21782458798528676,0.17995355792143958,0.11219228484036993
SGAPY,2006-10-25,6.665358066558838,6.665358066558838,6.524399440558281,6.665358066558838,3300.0,0.018292645164075947,0.1805545320494382,0.21997725221825157,0.17913394059483517,0.11938406767027855
